NAMA SEKOLAH ,Y,Z
SD IT NURUL ILMI AINI,-5.465290818,105.2460271
SMPN 27 BANDAR LAMPUNG ,-5.46989395,105.2461629
SMPN 42 BANDAR LAMPUNG ,-5.45707025,105.263836
SMP ASSAFINA,-5.45654435,105.261598
SMP IT NURUL ILMI AINI,-5.465888023,105.2453058
SMAN 11 BANDAR LAMPUNG ,-5.47261576,105.2428047
SMA ASSAFINA ,-5.456550387,105.2616012
SMKN 6 BANDAR LAMPUNG ,-5.472212345,105.24523
SMKS TRI KARYA UTAMA,-5.452883457,105.2552067
SDN 1 BUMIWARAS,-5.446017671,105.279658
SDN 1 GARUNTANG ,-5.434722042,105.2886085
SDN 1 PECOHRAYA,-5.43813559,105.2830235
SDN 1 SUKARAJA ,-5.44405233,105.2930922
SDN 2 BUMIWARAS,-5.444084254,105.2928489
SDN 2 SUKARAJA ,-5.444115534,105.2930598
SDN 3 BUMIWARAS ,-5.44770515,105.2734181
SDN 4 BUMIWARAS ,-5.447399631,105.2733799
SD PALM KIDS ,-5.439238803,105.277468
SD SETIA BUDI ,-5.439585187,105.2800615
SMPN 38 BANDAR LAMPUNG ,-5.44474178,105.2840906
SMP MUHAMMADIYAH 1 ,-5.443955573,105.2698241
SMP NURUL ISLAM ,-5.443923685,105.2817841
SMAS NURUL ISLAM ,-5.443881286,105.2818032
SDN 1 KEBON JERUK ,-5.41276923,105.2652133
SDN 1 KOTA BARU ,-5.41746233,105.2662159
SDN 1 SAWAH BREBES ,-5.407842222,105.2678731
SDN 1 SAWAH LAMA ,-5.408576314,105.2619924
SDN 2 SAWAH BREBES ,-5.407657559,105.2681417
SDN 2 SAWAH LAMA ,-5.408553654,105.2621077
SMP GOTONGROYONG ,-5.412456561,105.2653085
SMP KRISTEN BPK PENABUR ,-5.41816553,105.2700466
SMP UTAMA 2 BANDAR LAMPUNG ,-5.416320856,105.2729036
SMAS BPK PENABUR ,-5.418248307,105.2701888
SMAS NUSANTARA BANDAR LAMPUNG ,-5.41261426,105.2686856
SMAS UTAMA 1 ,-5.416320856,105.2729036
SMK ANALISIS KESEHATAN TRI JAYA ,-5.417569579,105.2618016
SMKS BINTARA ,-5.420017072,105.3358157
SMKS KRISTN BPK PENABUR BANDAR LAMPUNG ,-5.417907756,105.2707262
SMKS YAPENA BANDAR LAMPUNG ,-5.41633259,105.2678046
SDN 1 BAKUNG ,-5.453377205,105.2444806
SDN 1 BATU PUTUK,-5.436856406,105.2283891
SDN 1 NEGERI OLOK GADING ,-5.446083,105.2494913
SDN 1 SUKARAME DUA ,-5.439635116,105.2418447
SDN 2 BATU PUTUK ,-5.43977103,105.2065567
SMPN 15 BANDAR LAMPUNG ,-5.451580825,105.2502281
SMPN 40 BANDAR LAMPUNG ,-5.443301549,105.2443051
SMP AN NUUR AL MADANI ,-5.441076738,105.2391674
SMP BODHISTTVA ,-5.450924864,105.2557157
SMP DARUL FALAH ,-5.443524165,105.1944867
SMP IT NURUL FALAH ,-5.430097721,105.2063227
SMP IT PERMATA BUNDA ,-5.425485733,105.1977889
SMP JANNATUN NAIM INTERNATIONAL COLLEGE (JaNIC),-5.435047255,105.2288948
SMA IT NURUL FALAH ,-5.430097721,105.2063227
SMAS BODHISTTVA ,-5.450899498,105.2557224
