NAMA SEKOLAH ,Y,Z
SMA IT MIFTAHUL JANNAH,-5.353723898,105.2403146
SMA QURAN DARUL FATTAH,-5.373981545,105.2385709
SMA S AL KAUTSAR ,-5.362920763,105.2370021
SMAS DARMA BANGSA ,-5.377982947,105.2505144
SMAS GLOBAL MADANI,-5.368585028,105.2246249
SMKN 2 BANDAR LAMPUNG,-5.363770699,105.2457258
SMK CITRA ANGKASA SCHOOL,-5.364291472,105.2378031
SMKS 2 MEI BANDAR LAMPUNG,-5.372706147,105.2460029
SDN 1 LABUHAN DALAM,-5.360137627,105.2596507
SDN 1 PERUM WAY KANDIS ,-5.368278764,105.2906057
SDN 1 TANJUNG SENANG ,-5.35924957,105.2754461
SDN 1 WAY KANDIS ,-5.350512461,105.2883068
SDN 2 LABUHAN DALAM,-5.352938862,105.2623319
SDN 2 PERUMNAS WAY KANDIS ,-5.363233627,105.2898365
SDN 2 TANJUNG SENANG ,-5.366524854,105.2758839
SDN 3 LABUHAN DALAM,-5.351756908,105.2554619
SDN 3 PERUM WAY KANDIS ,-5.362120419,105.2855132
SD INSAN MANDIRI ,-5.3473771,105.2933401
SD ISLAM DARUL ATHFAL ,-5.355810626,105.2688075
SD IT ABDURRAHMAN IBNU AUF,-5.35655199,105.287001
SD IT UNGGUL GEMILANG ,-5.358747129,105.2649011
SD SEJAHTERA,-5.350751726,105.2883272
SMPN 19 BANDAR LAMPUNG ,-5.364822672,105.2675188
SMPN 20 BANDAR LAMPUNG ,-5.352678479,105.2633384
SMP ABDURRAHMAN IBNU AUF ,-5.357531487,105.2867357
SMP GAJAH MANA BANDAR LAMPUNG ,-5.372388162,105.2768952
SMP INSAN MANDIRI ,-5.346712582,105.2933456
SMP PANGUDI LUHUR BANDAR LAMPUNG ,-5.362476695,105.2783969
SMP WIDYA DHARMA BANDAR LAMPUNG ,-5.350780343,105.2885234
SMAN 15 BANDAR LAMPUNG ,-5.360355463,105.2680658
SMA IT ABDURRAHMAN IBNU AUF ,-5.357616943,105.286607
SMAS GAJAH MADA ,-5.372299727,105.2766124
SMAS PANGUDI LUHUR ,-5.362481932,105.2783496
SMAS YADIKA,-5.359494099,105.2552754
SMKS GAJAH MADA BANDAR LAMPUNG ,-5.372395263,105.2768195
SMKS MIFTAHUL ULUM,-5.354875008,105.2587974
SMKS YADIKA ,-5.359431871,105.2553089
SDN 1 CAMPANG RAYA ,-5.417679348,105.3270234
SDN 1 SUKABUMI ,-5.394634619,105.3149752
SDN 1 SUKABUMI INDAH ,-5.402154901,105.2973616
SDN 2 CAMPANG RAYA ,-5.407026895,105.2972313
SDN 2 SUKABUMI ,-5.398855063,105.3040382
SDN 3 CAMPANG RAYA ,-5.412088885,105.3203896
SD IT PERMATA BUNDA III ,-5.394357456,105.3130407
SD IT TRESNA ASIH ,-5.40381701,105.3044956
SMPN 31 BANDAR LAMPUNG ,-5.405176726,105.3014749
SMP ISLAM EL SYIHAB,-5.395976837,105.3036113
SMP IT PERMATA BUNDA ALAWIYAH ,-5.39493658,105.3131656
SMP TIRTAYASA ,-5.395437081,105.2993697
SMA ISLAM EL SYIHAB,-5.395984821,105.3036995
SMKN 5 BANDAR LAMPUNG ,-5.398947738,105.3061085
SMK YAPISDA BANDAR LAMPUNG ,-5.419979539,105.337472
SMKS FARMASI CENDIKIA FARMA HUSADA ,-5.392909497,105.3000396
SMKS TARUNA BANDAR LAMPUNG ,-5.394392912,105.2967409
SDN 1 GULAK GALIK ,-5.436731519,105.2642845
SDN 1 KUPANG RAYA,-5.442191627,105.2735503
SDN 1 KUPANG TEBA ,-5.43844865,105.270812
SDN 1 PENGAJARAN ,-5.430712681,105.2540291
SDN 2 KUPANG TEBA,-5.437513408,105.2706896
SDN 3 GULAK GALIK,-5.436671841,105.2644754
SDN KUPANG KOTA,-5.438973678,105.2608779
SDN SUMUR BATU,-5.426919066,105.2608178
SD ADVENT,-5.429271684,105.2671212
SD IMMANUEL ,-5.429531793,105.2636871
SD IT AR-RAUF,-5.425480731,105.2476573
SD STELLA GRACIA,-5.437622594,105.2745048
SD TAMAN SISWA ,-5.444490599,105.2661739
SMPN 16 BANDAR LAMPUNG,-5.434240916,105.26624
SMPN 17 BANDAR LAMPUNG,-5.436093836,105.26063
SMPN 18 BANDAR LAMPUNG,-5.430804091,105.2571341
SMPN 35 BANDAR LAMPUNG,-5.439072775,105.2609095
SMP ADVENT ,-5.429271684,105.2671212
SMP IMMANUEL,-5.429531793,105.2636871
SMP MUH. 4 BANDAR LAMPUNG,-5.425587316,105.2505383
SMP STELLA GRACIA,-5.437622594,105.2745048
